State_Name,Transaction_count
Andaman & Nicobar Islands,703.25
Andhra Pradesh,36442.25
Arunachal Pradesh,510.5
Assam,14608.25
Bihar,26137.75
Chandigarh,1264.5
Chhattisgarh,8615.75
Dadra & Nagar Haveli & Daman & Diu,627.25
Delhi,34865.5
Goa,3425.75
Gujarat,28830.5
Haryana,30363.0
Himachal Pradesh,3451.25
Jammu & Kashmir,4370.0
Jharkhand,12504.25
Karnataka,108317.25
Kerala,48231.75
Ladakh,121.75
Lakshadweep,24.5
Madhya Pradesh,20096.75
Maharashtra,96452.0
Manipur,216.5
Meghalaya,485.75
Mizoram,205.25
Nagaland,251.25
Odisha,16358.5
Puducherry,1567.75
Punjab,10301.75
Rajasthan,30187.75
Sikkim,237.0
Tamil Nadu,71045.5
Telangana,49511.25
Tripura,1256.5
Uttar Pradesh,60666.25
Uttarakhand,6661.5
West Bengal,43612.75
